id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1059,Rise Against,concert,,06/10/2015,Barclaycard (Palacio de los Deportes),Madrid,Spain,rise_berri_2015.jpg,,,https://mariskalrock.com/secciones/volumen_brutal/cronica-de-rise-against-refused-berri-txarrak-ese-rollito-antisistema/,
1060,Berri Txarrak,concert,,06/10/2015,Barclaycard (Palacio de los Deportes),Madrid,Spain,rise_berri_2015.jpg,,,https://mariskalrock.com/secciones/volumen_brutal/cronica-de-rise-against-refused-berri-txarrak-ese-rollito-antisistema/,
1061,Refused,concert,,06/10/2015,Barclaycard (Palacio de los Deportes),Madrid,Spain,rise_berri_2015.jpg,,,https://mariskalrock.com/secciones/volumen_brutal/cronica-de-rise-against-refused-berri-txarrak-ese-rollito-antisistema/,
1062,La Fuga,concert,,17/10/2003,Aqualung,Madrid,Spain,lafuga_2003.jpg,,,,
1063,Bad Manners,festival,En Vivo,08/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1064,Mägo de Oz,festival,En Vivo,08/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1065,The Specials,festival,En Vivo,09/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1066,Los Delinqüentes,festival,En Vivo,09/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1067,Tonino Carotone,festival,En Vivo,09/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1068,Boikot,festival,En Vivo,09/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1069,The Offspring,festival,En Vivo,10/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1070,La Pegatina,festival,En Vivo,10/09/2011,Getafe Open Air,Getafe,Spain,envivo_cartel_2011.jpg,envivo_2011.jpg,envivo_pulsera_2011.jpg,https://es.wikipedia.org/wiki/Festival_En_Vivo,
1071,Bunbury,festival,Gigante 2018,01/09/2018,Estadio Fuente de la Niña,Guadalajara,Spain,gigante_cartel_2018.jpg,,,,
1072,El Kanka,festival,Gigante 2018,30/08/2018,Estadio Fuente de la Niña,Guadalajara,Spain,gigante_cartel_2018.jpg,,,,
1073,Despistaos,festival,Gigante 2018,30/08/2018,Estadio Fuente de la Niña,Guadalajara,Spain,gigante_cartel_2018.jpg,,,,
1074,Rigoberta Bandini,festival,Gigante 2022,27/08/2022,Huerta del Obispo,Alcalá de Henares,Spain,gigante_cartel_2022.jpg,,,,
1075,La Cabra Mecánica,festival,Gigante 2022,27/08/2022,Huerta del Obispo,Alcalá de Henares,Spain,gigante_cartel_2022.jpg,,,,
1076,Cariño,festival,Gigante 2022,27/08/2022,Huerta del Obispo,Alcalá de Henares,Spain,gigante_cartel_2022.jpg,,,,
1077,Ladilla Rusa,festival,Gigante 2022,26/08/2022,Huerta del Obispo,Alcalá de Henares,Spain,gigante_cartel_2022.jpg,,,,
1078,Los Chikos del Maíz,concert,La Karmela,14/07/2023,Parque Javier de Miguel,Madrid,Spain,karmela_cartel_2023.jpg,,,,
1079,Los Chikos del Maíz,concert,,28/08/2021,Teatro Egaleo,Leganés,Spain,lcdm_2021.jpg,,,,
1080,Los Chikos del Maíz,concert,25 años,29/01/2022,Wizink Center (Palacio de los Deportes),Madrid,Spain,lcdm_2022.jpg,,,,
1081,Los Chikos del Maíz,concert,Yes Future Tour,15/04/2023,La Riviera,Madrid,Spain,lcdm_2023.jpg,,,,
